execucao_global,run,crypto_mode,status,delivered,source,destination,path,hops,protocol,crypto_backend,crypto_algorithm,original_payload_size_bytes,protected_payload_size_bytes,payload_size_bytes,crypto_overhead_bytes,crypto_time_seconds,crypto_energy_cost,duration_seconds,total_energy_consumed,link_latency_ms,link_packet_loss_percent,link_packets_transmitted,link_packets_received,link_rtt_min_ms,link_rtt_avg_ms,link_rtt_max_ms,link_rtt_mdev_ms,erro
41,11,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008068,0.091658,0.009206,0.631658,12.565,0.0,3,3,9.359,12.565,18.859,4.45,
42,12,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.003508,0.087098,0.003958,0.627098,12.857,0.0,3,3,9.207,12.857,19.877,4.964,
43,13,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.007879,0.091469,0.008951,0.631469,12.994,0.0,3,3,9.541,12.994,19.876,4.866,
44,14,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008076,0.091666,0.009183,0.631666,12.973,0.0,3,3,9.346,12.973,20.037,4.995,
45,15,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.00622,0.08981,0.006685,0.62981,12.973,0.0,3,3,9.462,12.973,19.949,4.932,
46,16,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.006024,0.089614,0.006492,0.629614,12.927,0.0,3,3,9.466,12.927,19.769,4.837,
47,17,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.006183,0.089773,0.006603,0.629773,12.999,0.0,3,3,9.466,12.999,19.933,4.903,
48,18,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.006435,0.090025,0.006901,0.630025,13.086,0.0,3,3,9.508,13.086,20.237,5.056,
49,19,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008841,0.092431,0.009904,0.632431,12.97,0.0,3,3,9.437,12.97,19.994,4.966,
50,20,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.007599,0.091189,0.008674,0.631189,12.841,0.0,3,3,9.435,12.841,19.635,4.804,
51,21,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008117,0.091707,0.009222,0.631707,12.85,0.0,3,3,9.434,12.85,19.634,4.796,
52,22,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008747,0.092337,0.01013,0.632337,12.791,0.0,3,3,9.424,12.791,19.449,4.708,
53,23,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008893,0.092483,0.010145,0.632483,12.959,0.0,3,3,9.414,12.959,19.948,4.941,
54,24,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.009411,0.093001,0.010615,0.633001,13.1,0.0,3,3,9.429,13.1,20.433,5.185,
55,25,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008886,0.092476,0.009979,0.632476,13.198,0.0,3,3,9.45,13.198,20.41,5.1,
56,26,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.007648,0.091238,0.008743,0.631238,12.867,0.0,3,3,9.402,12.867,19.72,4.845,
57,27,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.006449,0.090039,0.006947,0.630039,12.972,0.0,3,3,9.472,12.972,19.808,4.834,
58,28,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.007962,0.091552,0.00947,0.631552,13.019,0.0,3,3,9.494,13.019,19.966,4.911,
59,29,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.003176,0.086766,0.003619,0.626766,12.905,0.0,3,3,9.265,12.905,20.058,5.057,
60,30,hybrid,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography + liboqs,X25519 + Ed25519 + ML-KEM-512 + ML-DSA-44 + AES GCM,111,5615,5615,5488,0.008938,0.092528,0.010044,0.632528,12.912,0.0,3,3,9.481,12.912,19.77,4.848,
61,1,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.006598,0.010688,0.007834,0.550688,12.811,0.0,3,3,9.194,12.811,19.755,4.911,
62,2,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.004052,0.008142,0.004883,0.548142,13.134,0.0,3,3,9.415,13.134,20.41,5.145,
63,3,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.004832,0.008922,0.005277,0.548922,13.026,0.0,3,3,9.484,13.026,20.008,4.936,
64,4,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.006733,0.010823,0.007942,0.550823,13.078,0.0,3,3,9.554,13.078,20.11,4.972,
65,5,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.004405,0.008495,0.004837,0.548495,13.077,0.0,3,3,9.474,13.077,20.249,5.071,
66,6,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.006065,0.010155,0.007135,0.550155,12.772,0.0,3,3,9.256,12.772,19.55,4.793,
67,7,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.005328,0.009418,0.005765,0.549418,12.773,0.0,3,3,9.415,12.773,19.475,4.738,
68,8,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.006144,0.010234,0.007354,0.550234,12.909,0.0,3,3,9.489,12.909,19.742,4.831,
69,9,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.004327,0.008417,0.004805,0.548417,12.93,0.0,3,3,9.391,12.93,19.866,4.904,
70,10,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.006054,0.010144,0.00714,0.550144,12.994,0.0,3,3,9.482,12.994,19.862,4.856,
71,11,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.006806,0.010896,0.008051,0.550896,12.973,0.0,3,3,9.521,12.973,19.83,4.848,
72,12,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.005175,0.009265,0.005601,0.549265,13.064,0.0,3,3,9.526,13.064,20.095,4.971,
73,13,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.004977,0.009067,0.005525,0.549067,12.999,0.0,3,3,9.498,12.999,19.895,4.875,
74,14,classical,delivered,True,iot_1,server_1,iot_1 para iot_2 para iot_3 para iot_4 para server_1,4,mqtt,cryptography,X25519 + Ed25519 + AES GCM,111,315,315,188,0.005957,0.010047,0.007085,0.550047,13.088,0.0,3,3,9.492,13.088,20.25,5.064,
